t_food,t_chart,accuracy,macro_f1,food_precision,food_recall,chart_precision,chart_recall,other_recall,other_to_food_fpr,other_to_chart_fpr,thresholds,score_means,confusion_matrix
0.5,0.85,0.8741660915573959,0.8916118351049894,0.9835958005249343,0.7495,0.9741176470588235,0.9775678866587958,0.982,0.016666666666666666,0.0013333333333333333,"{'food': 0.5, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1499, 20, 481], [0, 828, 19], [25, 2, 1473]]"
0.5,0.8,0.8746261789740051,0.8916103332598446,0.9835958005249343,0.7495,0.9674039580908033,0.9811097992916175,0.9813333333333333,0.016666666666666666,0.002,"{'food': 0.5, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1499, 25, 476], [0, 831, 16], [25, 3, 1472]]"
0.5,0.75,0.8748562226823097,0.891549812409194,0.9835958005249343,0.7495,0.9630057803468208,0.9834710743801653,0.9806666666666667,0.016666666666666666,0.0026666666666666666,"{'food': 0.5, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1499, 28, 473], [0, 833, 14], [25, 4, 1471]]"
0.5,0.9,0.873015873015873,0.8908642662965961,0.9835958005249343,0.7495,0.9809296781883194,0.9716646989374262,0.982,0.016666666666666666,0.0013333333333333333,"{'food': 0.5, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1499, 14, 487], [0, 823, 24], [25, 2, 1473]]"
0.55,0.85,0.8638141246836899,0.8830312639882584,0.9890485968514716,0.7225,0.9741176470588235,0.9775678866587958,0.988,0.010666666666666666,0.0013333333333333333,"{'food': 0.55, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1445, 20, 535], [0, 828, 19], [16, 2, 1482]]"
0.55,0.8,0.8642742121002991,0.8830115525169154,0.9890485968514716,0.7225,0.9674039580908033,0.9811097992916175,0.9873333333333333,0.010666666666666666,0.002,"{'food': 0.55, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1445, 25, 530], [0, 831, 16], [16, 3, 1481]]"
0.55,0.75,0.8645042558086037,0.882939961983408,0.9890485968514716,0.7225,0.9630057803468208,0.9834710743801653,0.9866666666666667,0.010666666666666666,0.0026666666666666666,"{'food': 0.55, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1445, 28, 527], [0, 833, 14], [16, 4, 1480]]"
0.55,0.9,0.862663906142167,0.8823099122703432,0.9890485968514716,0.7225,0.9809296781883194,0.9716646989374262,0.988,0.010666666666666666,0.0013333333333333333,"{'food': 0.55, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1445, 14, 541], [0, 823, 24], [16, 2, 1482]]"
0.6,0.85,0.8509316770186336,0.8722774286116449,0.9907076483202287,0.693,0.9741176470588235,0.9775678866587958,0.99,0.008666666666666666,0.0013333333333333333,"{'food': 0.6, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1386, 20, 594], [0, 828, 19], [13, 2, 1485]]"
0.6,0.8,0.8513917644352427,0.8722379856814682,0.9907076483202287,0.693,0.9674039580908033,0.9811097992916175,0.9893333333333333,0.008666666666666666,0.002,"{'food': 0.6, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1386, 25, 589], [0, 831, 16], [13, 3, 1484]]"
0.6,0.75,0.8516218081435473,0.8721542521318729,0.9907076483202287,0.693,0.9630057803468208,0.9834710743801653,0.9886666666666667,0.008666666666666666,0.0026666666666666666,"{'food': 0.6, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1386, 28, 586], [0, 833, 14], [13, 4, 1483]]"
0.6,0.9,0.8497814584771106,0.8715839438553264,0.9907076483202287,0.693,0.9809296781883194,0.9716646989374262,0.99,0.008666666666666666,0.0013333333333333333,"{'food': 0.6, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1386, 14, 600], [0, 823, 24], [13, 2, 1485]]"
0.65,0.85,0.8373590982286635,0.8608290354292659,0.9939849624060151,0.661,0.9741176470588235,0.9775678866587958,0.9933333333333333,0.005333333333333333,0.0013333333333333333,"{'food': 0.65, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1322, 20, 658], [0, 828, 19], [8, 2, 1490]]"
0.65,0.8,0.8378191856452726,0.8607695793826243,0.9939849624060151,0.661,0.9674039580908033,0.9811097992916175,0.9926666666666667,0.005333333333333333,0.002,"{'food': 0.65, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1322, 25, 653], [0, 831, 16], [8, 3, 1489]]"
0.65,0.75,0.8380492293535772,0.8606735941805191,0.9939849624060151,0.661,0.9630057803468208,0.9834710743801653,0.992,0.005333333333333333,0.0026666666666666666,"{'food': 0.65, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1322, 28, 650], [0, 833, 14], [8, 4, 1488]]"
0.65,0.9,0.8362088796871405,0.86016404961329,0.9939849624060151,0.661,0.9809296781883194,0.9716646989374262,0.9933333333333333,0.005333333333333333,0.0013333333333333333,"{'food': 0.65, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1322, 14, 664], [0, 823, 24], [8, 2, 1490]]"
0.7,0.85,0.8240165631469979,0.8494532515253882,0.9960505529225908,0.6305,0.9741176470588235,0.9775678866587958,0.9953333333333333,0.0033333333333333335,0.0013333333333333333,"{'food': 0.7, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1261, 20, 719], [0, 828, 19], [5, 2, 1493]]"
0.7,0.8,0.8244766505636071,0.8493755295814124,0.9960505529225908,0.6305,0.9674039580908033,0.9811097992916175,0.9946666666666667,0.0033333333333333335,0.002,"{'food': 0.7, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1261, 25, 714], [0, 831, 16], [5, 3, 1492]]"
0.7,0.75,0.8247066942719117,0.8492683431229572,0.9960505529225908,0.6305,0.9630057803468208,0.9834710743801653,0.994,0.0033333333333333335,0.0026666666666666666,"{'food': 0.7, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1261, 28, 711], [0, 833, 14], [5, 4, 1491]]"
0.7,0.9,0.822866344605475,0.8488142053215805,0.9960505529225908,0.6305,0.9809296781883194,0.9716646989374262,0.9953333333333333,0.0033333333333333335,0.0013333333333333333,"{'food': 0.7, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1261, 14, 725], [0, 823, 24], [5, 2, 1493]]"
0.75,0.85,0.8067632850241546,0.8345610876148813,0.9966358284272497,0.5925,0.9741176470588235,0.9775678866587958,0.996,0.0026666666666666666,0.0013333333333333333,"{'food': 0.75, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1185, 20, 795], [0, 828, 19], [4, 2, 1494]]"
0.75,0.8,0.8072233724407637,0.8344615567446606,0.9966358284272497,0.5925,0.9674039580908033,0.9811097992916175,0.9953333333333333,0.0026666666666666666,0.002,"{'food': 0.75, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1185, 25, 790], [0, 831, 16], [4, 3, 1493]]"
0.75,0.75,0.8074534161490683,0.8343409620515638,0.9966358284272497,0.5925,0.9630057803468208,0.9834710743801653,0.9946666666666667,0.0026666666666666666,0.0026666666666666666,"{'food': 0.75, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1185, 28, 787], [0, 833, 14], [4, 4, 1492]]"
0.75,0.9,0.8056130664826316,0.8339528861210108,0.9966358284272497,0.5925,0.9809296781883194,0.9716646989374262,0.996,0.0026666666666666666,0.0013333333333333333,"{'food': 0.75, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1185, 14, 801], [0, 823, 24], [4, 2, 1494]]"
0.35,0.8,0.9026915113871635,0.9147038924029977,0.975,0.819,0.9674039580908033,0.9811097992916175,0.97,0.028,0.002,"{'food': 0.35, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1638, 25, 337], [0, 831, 16], [42, 3, 1455]]"
0.35,0.75,0.9029215550954681,0.9146755363890707,0.975,0.819,0.9630057803468208,0.9834710743801653,0.9693333333333334,0.028,0.0026666666666666666,"{'food': 0.35, 'chart': 0.75}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1638, 28, 334], [0, 833, 14], [42, 4, 1454]]"
0.35,0.85,0.9022314239705544,0.9146529422908384,0.975,0.819,0.9741176470588235,0.9775678866587958,0.9706666666666667,0.028,0.0013333333333333333,"{'food': 0.35, 'chart': 0.85}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1638, 20, 342], [0, 828, 19], [42, 2, 1456]]"
0.35,0.9,0.9010812054290315,0.9138308662987605,0.975,0.819,0.9809296781883194,0.9716646989374262,0.9706666666666667,0.028,0.0013333333333333333,"{'food': 0.35, 'chart': 0.9}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1638, 14, 348], [0, 823, 24], [42, 2, 1456]]"
0.4,0.8,0.8932597193466759,0.9069738880734434,0.9790511398644486,0.7945,0.9674039580908033,0.9811097992916175,0.9753333333333334,0.02266666666666667,0.002,"{'food': 0.4, 'chart': 0.8}","{'food_score': 0.3396484851837158, 'chart_score': 0.21474120020866394}","[[1589, 25, 386], [0, 831, 16], [34, 3, 1463]]"
