t_food,t_chart,accuracy,macro_f1,food_precision,food_recall,chart_precision,chart_recall,other_recall,other_to_food_fpr,other_to_chart_fpr,thresholds,score_means,confusion_matrix
0.5,0.8,0.9530710835058661,0.9560704966556113,0.9861407249466951,0.925,0.9808153477218226,0.9657615112160567,0.9833333333333333,0.014666666666666666,0.002,"{'food': 0.5, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1850, 13, 137], [4, 818, 25], [22, 3, 1475]]"
0.5,0.85,0.9521509086726478,0.955138264806151,0.9861407249466951,0.925,0.9854545454545455,0.9598583234946871,0.984,0.014666666666666666,0.0013333333333333333,"{'food': 0.5, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1850, 10, 140], [4, 813, 30], [22, 2, 1476]]"
0.5,0.9,0.949850471589602,0.9524688301310221,0.9861407249466951,0.925,0.9901356350184957,0.948051948051948,0.984,0.014666666666666666,0.0013333333333333333,"{'food': 0.5, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1850, 6, 144], [4, 803, 40], [22, 2, 1476]]"
0.55,0.8,0.9480101219231654,0.9519023235693389,0.9886178861788618,0.912,0.9808153477218226,0.9657615112160567,0.986,0.012,0.002,"{'food': 0.55, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1824, 13, 163], [3, 818, 26], [18, 3, 1479]]"
0.55,0.85,0.9470899470899471,0.9509830789188886,0.9886178861788618,0.912,0.9854545454545455,0.9598583234946871,0.9866666666666667,0.012,0.0013333333333333333,"{'food': 0.55, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1824, 10, 166], [3, 813, 31], [18, 2, 1480]]"
0.55,0.9,0.9447895100069013,0.9483368137874179,0.9886178861788618,0.912,0.9901356350184957,0.948051948051948,0.9866666666666667,0.012,0.0013333333333333333,"{'food': 0.55, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1824, 6, 170], [3, 803, 41], [18, 2, 1480]]"
0.6,0.8,0.9429491603404647,0.9477700906939805,0.9917172832689122,0.898,0.9808153477218226,0.9657615112160567,0.99,0.008,0.002,"{'food': 0.6, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1796, 13, 191], [3, 818, 26], [12, 3, 1485]]"
0.6,0.85,0.9420289855072463,0.9468637216072459,0.9917172832689122,0.898,0.9854545454545455,0.9598583234946871,0.9906666666666667,0.008,0.0013333333333333333,"{'food': 0.6, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1796, 10, 194], [3, 813, 31], [12, 2, 1486]]"
0.6,0.9,0.9397285484242006,0.9442406891054947,0.9917172832689122,0.898,0.9901356350184957,0.948051948051948,0.9906666666666667,0.008,0.0013333333333333333,"{'food': 0.6, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1796, 6, 198], [3, 803, 41], [12, 2, 1486]]"
0.65,0.8,0.9360478490913273,0.9421034233043901,0.991577765300393,0.883,0.9808153477218226,0.9657615112160567,0.99,0.008,0.002,"{'food': 0.65, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1766, 13, 221], [3, 818, 26], [12, 3, 1485]]"
0.65,0.85,0.935127674258109,0.9412111233864938,0.991577765300393,0.883,0.9854545454545455,0.9598583234946871,0.9906666666666667,0.008,0.0013333333333333333,"{'food': 0.65, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1766, 10, 224], [3, 813, 31], [12, 2, 1486]]"
0.65,0.9,0.9328272371750632,0.9386127179404383,0.991577765300393,0.883,0.9901356350184957,0.948051948051948,0.9906666666666667,0.008,0.0013333333333333333,"{'food': 0.65, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1766, 6, 228], [3, 803, 41], [12, 2, 1486]]"
0.7,0.8,0.9302967563837129,0.9373914690056683,0.9954128440366973,0.868,0.9808153477218226,0.9657615112160567,0.9933333333333333,0.004666666666666667,0.002,"{'food': 0.7, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1736, 13, 251], [1, 818, 28], [7, 3, 1490]]"
0.7,0.85,0.9293765815504946,0.9365131676152516,0.9954128440366973,0.868,0.9854545454545455,0.9598583234946871,0.994,0.004666666666666667,0.0013333333333333333,"{'food': 0.7, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1736, 10, 254], [1, 813, 33], [7, 2, 1491]]"
0.7,0.9,0.9270761444674488,0.9339398866900565,0.9954128440366973,0.868,0.9901356350184957,0.948051948051948,0.994,0.004666666666666667,0.0013333333333333333,"{'food': 0.7, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1736, 6, 258], [1, 803, 43], [7, 2, 1491]]"
0.75,0.8,0.9199447895100069,0.9289125032407659,0.9964622641509434,0.845,0.9808153477218226,0.9657615112160567,0.994,0.004,0.002,"{'food': 0.75, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1690, 13, 297], [0, 818, 29], [6, 3, 1491]]"
